time,V(vout),V(n001)
3.636738033404446e-004,2.658938e+000,-3.782411e+000
3.656738033404449e-004,2.763410e+000,-4.161707e+000
3.676738033404452e-004,2.885751e+000,-4.475288e+000
3.696738033404454e-004,3.019344e+000,-4.718215e+000
3.716738033404457e-004,3.157741e+000,-4.886658e+000
3.736738033404460e-004,3.294743e+000,-4.977966e+000
3.756738033404462e-004,3.424619e+000,-4.990704e+000
3.775970400065505e-004,3.537424e+000,-4.928651e+000
3.795970400065508e-004,3.637219e+000,-4.787845e+000
3.815970400065510e-004,3.715017e+000,-4.571475e+000
3.835970400065513e-004,3.766705e+000,-4.282957e+000
3.855970400065516e-004,3.788929e+000,-3.926843e+000
3.875970400065518e-004,3.778991e+000,-3.508753e+000
3.895970400065521e-004,3.734869e+000,-3.035282e+000
3.915970400065524e-004,3.655246e+000,-2.513901e+000
3.935970400065526e-004,3.539510e+000,-1.952835e+000
3.955970400065529e-004,3.387758e+000,-1.360936e+000
3.975970400065532e-004,3.200786e+000,-7.475508e-001
3.995970400065534e-004,2.991818e+000,-1.224950e-001
4.015970400065537e-004,2.782233e+000,4.968174e-001
4.016277451502782e-004,2.779329e+000,5.064165e-001
4.024661520230404e-004,2.716461e+000,7.690568e-001
4.033045588958026e-004,2.662596e+000,1.027899e+000
4.041429657685648e-004,2.617733e+000,1.282942e+000
4.049813726413270e-004,2.581872e+000,1.534186e+000
4.058197795140892e-004,2.555013e+000,1.781633e+000
4.066581863868514e-004,2.537157e+000,2.025280e+000
4.074965932596136e-004,2.528302e+000,2.265129e+000
4.094965932596138e-004,2.534168e+000,2.805645e+000
4.114965932596141e-004,2.578696e+000,3.301816e+000
4.134965932596144e-004,2.655208e+000,3.745823e+000
4.154965932596146e-004,2.756966e+000,4.130669e+000
4.174965932596149e-004,2.877247e+000,4.450289e+000
4.194965932596152e-004,3.009417e+000,4.699647e+000
4.214965932596154e-004,3.147007e+000,4.874815e+000
4.234965932596157e-004,3.283787e+000,4.973035e+000
4.254965932596160e-004,3.414191e+000,4.992761e+000
4.273085613813211e-004,3.521652e+000,4.942579e+000
4.293085613813214e-004,3.623613e+000,4.812884e+000
4.313085613813217e-004,3.704432e+000,4.607231e+000
4.333085613813219e-004,3.759708e+000,4.328865e+000
