time,V(vout),V(n001)
3.057420326872413e-004,3.145975e+000,1.760547e+000
3.077420326872415e-004,3.143880e+000,2.332940e+000
3.097420326872418e-004,3.142875e+000,2.868473e+000
3.117420326872421e-004,3.142874e+000,3.358698e+000
3.137420326872423e-004,3.143777e+000,3.795884e+000
3.157420326872426e-004,3.145472e+000,4.173137e+000
3.177420326872429e-004,3.147830e+000,4.484505e+000
3.197420326872431e-004,3.150714e+000,4.725079e+000
3.217420326872434e-004,3.153979e+000,4.891065e+000
3.237420326872437e-004,3.157473e+000,4.979844e+000
3.257420326872439e-004,3.161040e+000,4.990017e+000
3.277080966825781e-004,3.164467e+000,4.923241e+000
3.297080966825784e-004,3.167716e+000,4.778265e+000
3.317080966825786e-004,3.170578e+000,4.557864e+000
3.337080966825789e-004,3.172906e+000,4.265511e+000
3.357080966825791e-004,3.174562e+000,3.905819e+000
3.377080966825794e-004,3.175419e+000,3.484460e+000
3.397080966825797e-004,3.175363e+000,3.008080e+000
3.417080966825799e-004,3.174293e+000,2.484192e+000
3.437080966825802e-004,3.172126e+000,1.921061e+000
3.457080966825805e-004,3.168795e+000,1.327570e+000
3.479580966825810e-004,3.163891e+000,6.352860e-001
3.484580966825815e-004,3.162491e+000,4.792278e-001
3.494580966825808e-004,3.159568e+000,1.659201e-001
3.508643729261962e-004,3.155426e+000,-2.669990e-001
3.508857078318960e-004,3.155365e+000,-2.736908e-001
3.515554504202159e-004,3.153643e+000,-4.841133e-001
3.522251930085359e-004,3.152056e+000,-6.928397e-001
3.528949355968559e-004,3.150604e+000,-8.998701e-001
3.535646781851758e-004,3.149287e+000,-1.105205e+000
3.542344207734958e-004,3.148106e+000,-1.308843e+000
3.549041633618158e-004,3.147060e+000,-1.510785e+000
3.555739059501357e-004,3.146150e+000,-1.711031e+000
3.575739059501360e-004,3.144059e+000,-2.286118e+000
3.595739059501363e-004,3.143062e+000,-2.825084e+000
3.615739059501365e-004,3.143078e+000,-3.319427e+000
3.635739059501368e-004,3.144007e+000,-3.761349e+000
3.655739059501371e-004,3.145736e+000,-4.143883e+000
3.675739059501373e-004,3.148140e+000,-4.460994e+000
3.695739059501376e-004,3.151083e+000,-4.707681e+000
3.715739059501379e-004,3.154418e+000,-4.880054e+000
3.735739059501381e-004,3.157995e+000,-4.975395e+000
3.755739059501384e-004,3.161660e+000,-4.992199e+000
3.774344235518996e-004,3.165009e+000,-4.937069e+000
3.794344235518998e-004,3.168394e+000,-4.802620e+000
3.814344235519001e-004,3.171413e+000,-4.592360e+000
3.834344235519004e-004,3.173918e+000,-4.309605e+000
3.854344235519006e-004,3.175768e+000,-3.958815e+000
3.874344235519009e-004,3.176837e+000,-3.545522e+000
3.894344235519012e-004,3.177007e+000,-3.076246e+000
3.914344235519014e-004,3.176176e+000,-2.558386e+000
3.934344235519017e-004,3.174258e+000,-2.000112e+000
3.954344235519020e-004,3.171183e+000,-1.410231e+000
3.974344235519022e-004,3.166900e+000,-7.980536e-001
3.994344235519025e-004,3.161648e+000,-1.732977e-001
