time,V(vout),V(n002)
1.782138509682563e-003,2.456470e-002,-9.796809e-002
1.802138509682472e-003,2.482459e-002,-9.468187e-002
1.822138509682381e-003,2.534909e-002,-8.990245e-002
1.842138509682290e-003,2.627837e-002,-8.370522e-002
1.862138509682199e-003,2.777084e-002,-7.618791e-002
1.882138509682108e-003,2.998903e-002,-6.746907e-002
1.902138509682017e-003,3.307899e-002,-5.768620e-002
1.922138509681926e-003,3.714436e-002,-4.699359e-002
1.942138509681834e-003,4.222254e-002,-3.555986e-002
1.962138509681743e-003,4.827253e-002,-2.356533e-002
1.982138509681652e-003,5.517858e-002,-1.119916e-002
2.002138509681561e-003,6.276642e-002,1.343625e-003
2.022138509681470e-003,7.082434e-002,1.386522e-002
2.042138509681379e-003,7.912275e-002,2.616816e-002
2.062138509681288e-003,8.742917e-002,3.805840e-002
2.082138509681197e-003,9.551854e-002,4.934845e-002
2.102138509681106e-003,1.031800e-001,5.986023e-002
2.122138509681015e-003,1.102213e-001,6.942799e-002
2.142138509680924e-003,1.164718e-001,7.790083e-002
2.162138509680833e-003,1.217843e-001,8.514512e-002
2.182138509680742e-003,1.260372e-001,9.104662e-002
2.202138509680651e-003,1.291353e-001,9.551227e-002
2.222138509680560e-003,1.310108e-001,9.847163e-002
2.242138509680469e-003,1.316246e-001,9.987803e-002
2.262076021328330e-003,1.309673e-001,9.971228e-002
2.282076021328239e-003,1.290513e-001,9.797595e-002
2.302076021328148e-003,1.259231e-001,9.469449e-002
2.322076021328057e-003,1.216536e-001,8.991963e-002
2.342076021327966e-003,1.163414e-001,8.372670e-002
2.362076021327875e-003,1.101103e-001,7.621334e-002
2.382076021327784e-003,1.031080e-001,6.749804e-002
2.402076021327693e-003,9.550421e-002,5.771827e-002
2.422076021327602e-003,8.748849e-002,4.702824e-002
2.442076021327511e-003,7.926676e-002,3.559655e-002
2.462076021327420e-003,7.105704e-002,2.360349e-002
2.482076021327329e-003,6.308305e-002,1.123818e-002
2.502076021327238e-003,5.556467e-002,-1.304366e-003
2.522076021327147e-003,4.870452e-002,-1.382634e-002
2.542076021327056e-003,4.267048e-002,-2.613026e-002
2.562076021326964e-003,3.757652e-002,-3.802209e-002
2.582076021326873e-003,3.346733e-002,-4.931429e-002
2.602076021326782e-003,3.031380e-002,-5.982878e-002
2.622076021326691e-003,2.802298e-002,-6.939973e-002
2.642076021326600e-003,2.645923e-002,-7.787620e-002
2.662076021326509e-003,2.546805e-002,-8.512452e-002
2.682076021326418e-003,2.489548e-002,-9.103038e-002
2.702076021326327e-003,2.460212e-002,-9.550063e-002
2.722076021326236e-003,2.447469e-002,-9.846478e-002
2.742076021326145e-003,2.443727e-002,-9.987608e-002
2.762052747294908e-003,2.446092e-002,-9.971339e-002
2.782052747294816e-003,2.456802e-002,-9.797888e-002
2.802052747294725e-003,2.482925e-002,-9.469919e-002
2.822052747294634e-003,2.535526e-002,-8.992603e-002
2.842052747294543e-003,2.628606e-002,-8.373469e-002
2.862052747294452e-003,2.777999e-002,-7.622280e-002
2.882052747294361e-003,2.999948e-002,-6.750883e-002
2.902052747294270e-003,3.309052e-002,-5.773021e-002
2.922052747294179e-003,3.715676e-002,-4.704115e-002
2.942052747294088e-003,4.223564e-002,-3.561022e-002
2.962052747293997e-003,4.828624e-002,-2.361770e-002
2.982052747293906e-003,5.519296e-002,-1.125271e-002
3.002052747293815e-003,6.278168e-002,1.289743e-003
3.022052747293724e-003,7.084081e-002,1.381185e-002
3.042052747293633e-003,7.914085e-002,2.611614e-002
3.062052747293542e-003,8.744940e-002,3.800857e-002
3.082052747293451e-003,9.554143e-002,4.930157e-002
3.102052747293360e-003,1.032061e-001,5.981706e-002
3.122052747293269e-003,1.102511e-001,6.938920e-002
3.142052747293178e-003,1.165056e-001,7.786703e-002
3.162052747293087e-003,1.218226e-001,8.511685e-002
3.182052747292996e-003,1.260803e-001,9.102432e-002
3.202052747292905e-003,1.291834e-001,9.549630e-002
3.222052747292814e-003,1.310639e-001,9.846223e-002
3.242052747292723e-003,1.316819e-001,9.987535e-002
3.262044078593762e-003,1.310261e-001,9.971380e-002
