time,V(vout)
3.538360922866746e-003,1.353235e-001
3.558360922866655e-003,2.663232e-001
3.578360922866564e-003,8.342746e-001
3.598360922866473e-003,1.871037e+000
3.618360922866382e-003,2.982310e+000
3.638360922866291e-003,3.929284e+000
3.658360922866200e-003,4.707519e+000
3.678360922866109e-003,5.316998e+000
3.698360922866018e-003,5.760653e+000
3.718360922865927e-003,6.042546e+000
3.738360922865835e-003,6.166114e+000
3.758360922865744e-003,6.132807e+000
3.778360922865653e-003,5.941409e+000
3.798360922865562e-003,5.588171e+000
3.818360922865471e-003,5.067738e+000
3.838360922865380e-003,4.374686e+000
3.858360922865289e-003,3.505384e+000
3.878360922865198e-003,2.459771e+000
3.898360922865107e-003,1.310671e+000
3.918360922865016e-003,4.413034e-001
3.938360922864925e-003,1.437802e-001
3.958360922864834e-003,1.321746e-001
3.978360922864743e-003,1.326879e-001
3.998360922864652e-003,1.368488e-001
4.018360922864561e-003,1.428620e-001
4.038360922864470e-003,1.498750e-001
4.058360922864379e-003,1.573706e-001
4.078360922864288e-003,1.649554e-001
4.098360922864197e-003,1.723126e-001
4.118360922864106e-003,1.791921e-001
4.138360922864015e-003,1.853861e-001
4.158360922863924e-003,1.907219e-001
4.178360922863833e-003,1.950593e-001
4.198360922863742e-003,1.982895e-001
4.218360922863651e-003,2.003344e-001
4.238360922863560e-003,2.011462e-001
4.258360922863469e-003,2.007072e-001
4.278360922863378e-003,1.990300e-001
4.298360922863287e-003,1.961569e-001
4.318360922863196e-003,1.921604e-001
4.338360922863105e-003,1.871424e-001
4.358360922863014e-003,1.812351e-001
4.378360922862923e-003,1.746013e-001
4.398360922862832e-003,1.674366e-001
4.418360922862741e-003,1.599734e-001
4.438360922862650e-003,1.524901e-001
4.458360922862559e-003,1.453292e-001
4.478360922862468e-003,1.389379e-001
4.498360922862377e-003,1.339657e-001
4.518360922862286e-003,1.316372e-001
4.538360922862195e-003,1.352630e-001
4.558360922862104e-003,2.639492e-001
4.578360922862013e-003,8.275146e-001
4.598360922861922e-003,1.862346e+000
4.618360922861831e-003,2.973974e+000
4.638360922861740e-003,3.921270e+000
4.658360922861649e-003,4.699807e+000
4.678360922861558e-003,5.309552e+000
4.698360922861466e-003,5.753419e+000
4.718360922861375e-003,6.035459e+000
4.738360922861284e-003,6.159096e+000
4.758360922861193e-003,6.125777e+000
4.778360922861102e-003,5.934288e+000
4.798360922861011e-003,5.580887e+000
4.818360922860920e-003,5.060228e+000
4.838360922860829e-003,4.366905e+000
4.858360922860738e-003,3.497302e+000
4.878360922860647e-003,2.451375e+000
4.898360922860556e-003,1.304039e+000
4.918360922860465e-003,4.387513e-001
4.938360922860374e-003,1.435646e-001
4.958360922860283e-003,1.321584e-001
4.978360922860192e-003,1.327031e-001
4.998360922860101e-003,1.364962e-001
4.999999999999893e-003,1.369143e-001
